anger,disgust,fear,happiness,neutral,sadness,surprise
98.934,1.06,0.002,0.001,0.001,0.001,0.002
100,0,0,0,0,0,0
0.054,0.005,0.005,0.986,98.873,0.005,0.072
0.001,0.022,0.004,99.954,0.001,0.017,0.001
79.001,7.577,1.337,0.028,12.023,0.017,0.017
20.065,79.828,0.061,0.004,0.033,0.004,0.004
0.002,0.022,0.002,99.953,0.002,0.014,0.005
0.045,0.001,0.001,99.948,0.001,0.002,0.003
0.026,0.026,3.189,90.374,5.466,0.288,0.63
99.972,0.009,0.009,0.001,0.004,0.002,0.003
0.002,0.011,0.002,96.829,0.059,3.089,0.007
0.006,5.282,0.006,8.664,79.992,6.045,0.006
0.147,0.022,0.022,76.689,22.901,0.183,0.035
0.095,29.647,6.665,36.042,20.924,6.533,0.095
4.065,0.695,0.078,0.078,0.098,0.421,94.567
0.029,0.095,0.029,63.492,20.822,0.693,14.839
81.473,2.152,0.693,0.229,13.24,1.806,0.407
0,0.002,0,0,99.963,0.031,0.002
0.019,96.482,0.004,3.474,0.012,0.004,0.004
99.663,0.329,0.001,0.002,0.001,0.001,0.001
18,44.82,0.356,0.059,0.333,0.117,36.315
0.005,0.005,0.005,0.07,99.724,0.075,0.115
41.564,58.435,0,0,0.001,0,0
0,99.999,0,0,0,0,0
0.005,2.023,0.104,0.007,18.707,79.15,0.005
96.988,1.141,0.01,0.003,0.02,0.003,1.834
0.073,0.021,0.464,0.048,98.092,1.284,0.018
0.006,0.417,0.791,0.006,92.549,6.226,0.006
11.272,0.023,0.023,0.023,12.094,76.542,0.023
16.213,7.933,4.537,0.536,48.725,21.519,0.536
0.004,0.004,0.018,0.26,99.532,0.014,0.168
8.654,0.527,1.721,0.028,87.457,1.585,0.028
27.877,0.007,50.099,21.876,0.007,0.117,0.017
49.219,1.356,3.82,3.918,0.24,20.718,20.729
0.122,99.871,0,0.002,0,0,0.005
0.001,0.001,0.001,0.088,0.033,0.001,99.878
0.001,0,99.946,0.006,0,0,0.047
0.073,0.668,93.739,0.051,3.11,2.32,0.039
0.03,0.001,0.003,99.966,0,0,0
0,0,0,0.004,99.996,0,0
0.012,0.021,0.01,99.944,0.007,0.003,0.003
1.011,1.704,10.547,52.134,0.504,32.594,1.505
0.049,37.046,0.166,0.049,60.051,1.831,0.809
0.002,0.002,0.007,85.593,14.154,0.127,0.114
14.684,0.019,0.007,0.381,84.886,0.007,0.016
0.117,20.978,0.082,67.887,0.514,10.34,0.082
0.043,0.043,0.043,2.455,94.384,0.86,2.17
0.004,0.313,0.004,99.65,0.006,0.007,0.017
0.007,0.059,0.027,99.682,0.103,0.007,0.115
0.118,0.004,0.004,0.038,99.108,0.004,0.725
4.335,0.003,0.024,95.627,0.005,0.003,0.003
0.03,0.03,1.281,96.287,1.565,0.776,0.03
1.663,0.141,59.235,8.267,25.963,4.589,0.141
0.657,0.149,0.209,3.273,87.891,0.654,7.167
0.002,0.001,0.001,1.472,97.385,1.137,0.002
0.012,0,0,0.002,99.915,0.069,0.001
1.76,0.02,0.171,97.956,0.02,0.046,0.026
6.734,0.014,0.014,0.192,92.728,0.303,0.014
0.089,0.068,0.074,95.413,0.838,0.068,3.451
0.13,8.794,67.38,0.427,23.054,0.052,0.163
0,0,0,100,0,0,0
0.066,0.248,3.584,4.692,91.266,0.079,0.066
0.518,0.038,0.017,97.91,1.441,0.043,0.033
0.058,0.024,0.024,12.731,76.108,11.032,0.024
0.027,0.027,8.686,0.59,80.838,9.793,0.039
0.033,0.026,0.026,53.435,45.981,0.026,0.473
0,0,0,99.999,0,0.001,0
